,Re_l [-],Re_lo [-],Re_g [-],Re_go [-],x [-],xv [-],f_l [-],f_lo [-],f_g [-],f_go [-],1/Re_l [-],1/Re_lo [-],1/Re_g [-],1/Re_go [-],G*_l/G*_g [-],(1-x)/x [-],(1-xv)/xv [-],X [-],Y [-]
Test bi smooth 13 @ Q_l_20 Q_g_3000,938.8921306899231,1276.045032123508,15500.05882499434,58664.10455658606,0.2642170871293763,0.9961004079527332,0.01704136127783153,0.01253874244028354,0.006896781939483092,0.005042321468083506,0.001065085079864471,0.0007836714025177214,6.451588418409535e-05,1.704619899269787e-05,2.784766575336367,2.784766575336367,0.003914858397941542,0.1641274878667067,16.91315558931953
Test bi smooth 78 @ Q_l_100 Q_g_3500,4694.55433894725,5087.951332408645,18080.44246009866,233841.165119185,0.07731933105483525,0.9784558334164517,0.00952316045780381,0.009304866448159697,0.006636201347730358,0.003792330447770152,0.0002130127649612528,0.0001965427604683078,5.530838098718427e-05,4.276407019655057e-06,11.93337625089895,11.93337625089895,0.02201853762609093,0.6140541580350192,14.8622802216877
Test bi smooth 98 @ Q_l_30 Q_g_2000,1408.336276344605,1659.205596445891,11503.07992211298,76079.34910266609,0.1511984534277498,0.9923613814239794,0.01387716407067042,0.009643169016710692,0.007444911674038704,0.004765770892764556,0.0007100576877814588,0.0006026980635444182,8.693323933859201e-05,1.314417133945953e-05,5.613824264266367,5.613824264266367,0.007697416202411654,0.2838065916911493,18.98513163381854
Test bi smooth 40 @ Q_l_60 Q_g_500,2816.666325867744,2872.841186538552,2581.544504596258,132022.8886929907,0.01955376473089788,0.9376396697315662,0.01109425887782616,0.01102694025435067,0.01139844702963299,0.004247647989018498,0.0003550296287551651,0.0003480874629219886,0.000387365005026863,7.574444173278354e-06,50.14104694222131,50.14104694222132,0.06650777722137836,1.801603515965243,17.04147692343908
Test bi smooth 44 @ Q_l_60 Q_g_2500,2816.693052140109,3097.584956127724,12906.72154228505,142331.1455928421,0.09068093626679936,0.9848396616137991,0.01109422639228114,0.01077540408048669,0.00722614601085884,0.004183375364885726,0.0003550262600464062,0.0003228321463860979,7.747900942340748e-05,7.025869115538761e-06,10.02767617063219,10.02767617063219,0.01539371227328369,0.4868183929733948,15.90285512493021
Test bi smooth 20 @ Q_l_30 Q_g_2500,1408.338423329381,1689.299475379657,12916.69869689149,77662.62324641115,0.1663180840017321,0.9929850149840191,0.01387715692184156,0.009471381618942447,0.007224709037887097,0.004744803343208989,0.0007100566053122026,0.0005919613511839029,7.741916285781741e-05,1.287620683153026e-05,5.012575277079222,5.012575277079222,0.007064542677004803,0.2608029799552604,18.85345150239186
Test bi smooth 47 @ Q_l_60 Q_g_4000,2816.722670954231,3266.180840679167,20648.96852084802,150054.598860347,0.137609701253246,0.9890508121956275,0.01109419039139454,0.01060325162195573,0.006422625663503459,0.004139040662230917,0.0003550225268223607,0.0003061679829681631,4.842856915542101e-05,6.664240933599649e-06,6.266929517997275,6.266929517997275,0.01107039968964386,0.3461788715514888,14.86538177544316
Test bi smooth 87 @ Q_l_20 Q_g_500,938.8858912294462,1001.601077785692,2875.895038861615,45929.85732313718,0.06261493517448577,0.9815539271849745,0.01704147452790927,0.01597442370506658,0.01102333478715422,0.005324370878521815,0.001065092157994329,0.0009984014815666612,0.0003477178361821705,2.177232977155907e-05,14.97063060455708,14.97063060455708,0.01879272478479866,0.6594957636977717,16.29471317807228
Test bi smooth 95 @ Q_l_30 Q_g_500,1408.329741005482,1471.045188237403,2875.879861496998,67456.2554988956,0.0426332567710356,0.9722848849700481,0.0138771858315294,0.01087662032950265,0.01102335269240942,0.004890951046585097,0.0007100609827965762,0.0006797887705939159,0.0003477196712520058,1.482442202882685e-05,22.45586698596729,22.45586698596728,0.02850513821451182,0.8976774996789572,18.82144710733489
Test bi smooth 97 @ Q_l_30 Q_g_1500,1408.33342363785,1596.482949068533,8627.453947624568,73205.51614322842,0.1178525116979537,0.990166838305346,0.01387717356937106,0.01002202999370284,0.008034700587352998,0.004805330454728687,0.0007100591260675413,0.0006263768746064275,0.0001159090510445824,1.366017279413036e-05,7.485181907390463,7.485181907390463,0.009930812984489838,0.3583102588467094,19.01045704449856
